Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Radio Broadcasting,43200.0,59700.0
Recreational Studies,40500.0,59700.0
Speech Pathology,40500.0,59500.0
Recreation Administration,45000.0,59400.0
Dance,42600.0,59200.0
Recreation & Leisure Studies,38800.0,59100.0
Arts Management,37400.0,59000.0
University Studies,40000.0,59000.0
Photojournalism,39700.0,59000.0
Organizational Administration,42900.0,58900.0
Health & Medical Services Administration,37900.0,58800.0
Tourism Management,40600.0,58800.0
Communicative Disorders,45200.0,58800.0
Sculpture,38400.0,58700.0
Consumer Affairs,49200.0,58600.0
Social Services,38000.0,58600.0
Community Health,42900.0,58500.0
Justice Studies,43300.0,58500.0
Landscape Design,48900.0,58500.0
Horticulture,41300.0,57800.0
Wildlife Biology,41000.0,57800.0
Gender Studies,43100.0,57700.0
Nonprofit Management,40400.0,57200.0
Athletic Training,39700.0,57000.0
Human Development & Family Studies,38300.0,56800.0
Biblical Studies,38700.0,56700.0
Health Promotion,40000.0,56700.0
Home Economics,38200.0,56500.0
Theatre Studies,43100.0,56500.0
Teaching,39600.0,56400.0
Counseling Psychology,39200.0,56200.0
Health & Human Performance,36200.0,56200.0
Library & Information Science,44700.0,56000.0
Art Teacher Education,37500.0,55900.0
Hospitality & The Culinary Arts,37400.0,55900.0
Musical Theatre,41800.0,55900.0
Clinical Social Work (CSW),41700.0,55800.0
Biblical Studies & Practical Ministries,35100.0,55700.0
Rehabilitation Services,34100.0,55700.0
Parks & Recreation Management,40600.0,55600.0
Pastoral Ministry,37300.0,55600.0
Legal Assistant Studies,36400.0,55500.0
Applied Management,43600.0,55400.0
Social Welfare,44900.0,55300.0
Tourism & Travel,40600.0,55300.0
Vocal Performance,38900.0,55300.0
Audio Production,43700.0,54700.0
Bible Studies & Theology,38100.0,54700.0
Church Ministries,38100.0,54600.0
Family Studies,35900.0,54500.0
Special Education,39200.0,54500.0
Ceramics,39900.0,54400.0
Communication Sciences & Disorders,40900.0,54400.0
Family & Community Services,38500.0,54400.0
Speech & Hearing,41400.0,54300.0
Community Development,42100.0,53900.0
Health and Human Services,41500.0,53700.0
Office Management,37800.0,53400.0
Psychology & Human Services,35000.0,53300.0
History Teacher Education,45400.0,53000.0
Youth Ministry,35300.0,52300.0
Therapeutic Recreation,37700.0,52300.0
Community & Human Services,40500.0,52100.0
Christian Ministry,35500.0,52000.0
Elementary Education,37700.0,51600.0
Social Work (SW),36600.0,51600.0
Office Administration,38200.0,51200.0
Voice & Opera,32900.0,50800.0
Elementary Teaching,34400.0,50700.0
Human Services (HS),36600.0,50700.0
Baking & Pastry Arts,36000.0,50600.0
Human Services Management,43500.0,50500.0
Counseling,37100.0,49300.0
Recreational Therapy,36400.0,49200.0
Child Development,35500.0,49100.0
Middle School Education,39000.0,48300.0
Educational Psychology,34600.0,47600.0
Early Childhood & Elementary Education,36200.0,46500.0
Rehabilitation Counseling,38000.0,46100.0
Addiction Studies,36300.0,44800.0
Outdoor Education,35800.0,44200.0
Child & Family Studies,34100.0,43600.0
Early Childhood Education,34100.0,43300.0
Mental Health,35200.0,42500.0
Medical Assisting,35100.0,42300.0
Addictions Counseling,38800.0,42200.0
Metalsmithing,38300.0,38400.0
