Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
International Management,49300.0,99900.0
Finance,56800.0,99800.0
Agricultural Economics,53000.0,99700.0
Economics & Political Science,54200.0,99400.0
Interactive Media,50200.0,99400.0
Computer Science & Information Technology,63100.0,99100.0
Agricultural Engineering (AE),60400.0,99000.0
Consumer Economics,51200.0,99000.0
International Business,52100.0,98900.0
Chinese Language,51200.0,98700.0
Financial Planning,50400.0,98700.0
Corporate Finance,61000.0,98500.0
Architectural Engineering,62400.0,98400.0
Building Construction Management,58600.0,98000.0
Engineering Technology (ET),55300.0,97900.0
Network Engineering,57900.0,97900.0
Computer Information Systems (CIS),56900.0,97800.0
International Marketing,56200.0,97800.0
Psychobiology,45400.0,97800.0
Electrical Engineering Technology (EET),63100.0,97700.0
Computer Information Systems,55700.0,97700.0
Real Estate,56400.0,97700.0
Molecular Biology,50500.0,97700.0
Operations Management (OM),58000.0,97300.0
Cybersecurity,63000.0,97200.0
Manufacturing,54100.0,97200.0
Construction Trades,56300.0,97100.0
International Relations,49900.0,96800.0
Politics,50600.0,96800.0
Economics & Management,52700.0,96600.0
Industrial Hygiene,55800.0,96200.0
Software Development,61000.0,96000.0
Telecommunications Management,49800.0,96000.0
Supply Chain Management,59000.0,95900.0
Mechanical Engineering Technology (MET),61200.0,95800.0
Accounting & Auditing,55400.0,95700.0
Network Security,57500.0,95700.0
Entrepreneurship & Leadership,52300.0,95600.0
Geological Engineering,59100.0,95600.0
Product Design,58600.0,95500.0
Electronics,57000.0,95400.0
Food Marketing,54500.0,95400.0
Safety Management,57400.0,95400.0
German Studies,47400.0,95300.0
Industrial & Labor Relations,63800.0,95300.0
Agricultural Economics & Business,51400.0,95200.0
Aviation Management,48400.0,95200.0
Biochemistry (BCH),47500.0,95100.0
Computer Science (CS) & Business,60800.0,95000.0
Construction Science & Management,61500.0,95000.0
Accounting & Finance,55800.0,94900.0
Comparative Literature,44600.0,94900.0
International & Comparative Politics,46100.0,94900.0
East Asian Studies,46900.0,94800.0
Logistics & Supply Chain Management,56200.0,94400.0
Russian & Eastern European Studies,50800.0,94400.0
Occupational Health and Safety,57100.0,94300.0
Aviation,50000.0,94000.0
Manufacturing Technology,57100.0,94000.0
Physical Therapy,53500.0,93900.0
Labor Relations,48900.0,93900.0
Government & International Politics (GVIP),49800.0,93800.0
Information Technology (IT),56100.0,93800.0
City & Regional Planning,49700.0,93700.0
Information Science (IS),62600.0,93700.0
Business & Marketing,47800.0,93600.0
Agribusiness,48000.0,93400.0
Management Studies,43500.0,93400.0
Industrial Design (ID),52100.0,93100.0
Chemistry,49200.0,93000.0
Information Technology (IT) & Systems,58600.0,93000.0
Environmental Health & Safety,54500.0,93000.0
Electronics Engineering Technology (EET),61600.0,92900.0
Organizational Behavior,54000.0,92900.0
Analytical Chemistry,54800.0,92800.0
Computer Engineering Technology (CET),60100.0,92800.0
Food Science & Technology,50200.0,92800.0
Project Management,54100.0,92700.0
Technical & Scientific Communication,48900.0,92400.0
Finance & Banking,52600.0,92300.0
Hotel Administration,61500.0,92100.0
Mechanical Design,57700.0,92100.0
Biomedical Sciences,41200.0,92000.0
International Trade & Business,52300.0,91900.0
Commerce Economics,51200.0,91800.0
Latin American Studies,44300.0,91700.0
Structural Design & Construction Engineering Technology,66500.0,91700.0
Civil Engineering Technology (CET),55600.0,91700.0
Government & Politics,50000.0,91500.0
Aviation Flight Science (AFL),49900.0,91400.0
Business & Finance,52800.0,91400.0
Marketing,49200.0,91400.0
Applied Statistics,62000.0,91300.0
Biopsychology,50200.0,91300.0
Industrial Technology (IT),57800.0,91300.0
Manufacturing Engineering Technology,61500.0,91300.0
Music Production & Engineering,42100.0,91100.0
Networks & Telecommunications,52900.0,91100.0
Chemistry & Environmental Science,46000.0,91000.0
Microbiology & Immunology,51500.0,91000.0
Accounts,57000.0,90900.0
Risk Management,59600.0,90900.0
Environmental Science & Policy,47300.0,90700.0
Dairy Science,49500.0,90600.0
Sales & Marketing,48500.0,90600.0
Welding Engineering Technology,72000.0,90400.0
Industrial Psychology,47000.0,90200.0
Marketing & Management,47200.0,90200.0
Transportation & Logistics Management,52700.0,90200.0
Marketing Management,48300.0,90100.0
Watershed Hydrology & Management,45500.0,90100.0
Electromechanical Engineering,67100.0,90000.0
Transportation,59100.0,90000.0
Advertising Design,49300.0,89700.0
Management & Finance,52500.0,89700.0
Risk Management & Insurance,56300.0,89700.0
Geology,48200.0,89600.0
Information Assurance,55600.0,89500.0
Political Science,47900.0,89500.0
Philosophy,48700.0,89400.0
Radiation Therapy,65600.0,89400.0
Cell Biology,48200.0,89300.0
French Literature,44200.0,89300.0
Web Design & Development,50600.0,89300.0
Meteorology,44500.0,89300.0
Biological Sciences,46200.0,89200.0
Occupational Therapy (OT),55100.0,89200.0
Environmental Policy Analysis & Planning,47200.0,89100.0
Entrepreneurial Studies,46700.0,88900.0
Financial Accounting,53400.0,88900.0
Political Science/Public Law,43900.0,88900.0
Quality Management,53400.0,88900.0
Aeronautics,59100.0,88800.0
Applied Computer Science,62900.0,88800.0
Accounting,51700.0,88700.0
Broadcasting Technology,40000.0,88700.0
Food Science,49900.0,88700.0
Marketing & Communications,46600.0,88700.0
Urban Planning,48100.0,88500.0
Manufacturing Management,60400.0,88500.0
Insurance,53000.0,88400.0
Business Data Analysis,60400.0,88300.0
Environmental Design,45400.0,88300.0
Advertising,44800.0,88200.0
Cinema Studies,45400.0,88200.0
Financial Management,51000.0,88200.0
Advertising & Marketing Communications,46000.0,88100.0
Operations & Supply Chain Management,57800.0,88100.0
Computer Information Management,46800.0,88000.0
Global & International Studies,45900.0,87800.0
Computing & Information Systems (CIS),50800.0,87800.0
Architecture,48300.0,87800.0
Environmental & Natural Resource Economics,49100.0,87600.0
Labor Studies,44100.0,87500.0
Aviation Technology,52600.0,87400.0
Social Ecology,46700.0,87400.0
Classics,45000.0,87300.0
Marketing Communication,43600.0,87300.0
Geographic Information Systems (GIS) & Spatial Analysis,51700.0,87200.0
Organizational Psychology,48300.0,87200.0
European History,49700.0,87100.0
Urban & Regional Planning,47500.0,87000.0
Real Estate Development,54400.0,86800.0
Applied Technology,52900.0,86700.0
Entomology,44000.0,86700.0
Architectural Engineering Technology,49900.0,86600.0
Public Affairs,49700.0,86600.0
Entrepreneurship,51400.0,86500.0
Business Management & Marketing,45800.0,86400.0
Digital Arts,43200.0,86300.0
Industrial Safety,53200.0,86200.0
Logistics,54800.0,86200.0
Hotel Management,44500.0,86100.0
Cell & Molecular Biology,48900.0,86000.0
Global Business Management,53200.0,86000.0
Technical Management,57800.0,85900.0
Computer & Network Administration,54100.0,85900.0
Police Science,53400.0,85800.0
Pre-law,44700.0,85800.0
Business Communication,47600.0,85600.0
Microbiology,46200.0,85600.0
Professional Aeronautics,57700.0,85600.0
Advertising & Promotion,42400.0,85500.0
Network Systems Administration,53500.0,85400.0
Construction Technology,55500.0,85300.0
Electronic & Computer Technology,61300.0,85000.0
Marketing & Advertising,47200.0,85000.0
Electronic Systems Technology (EST),61800.0,84900.0
International Studies,47500.0,84800.0
Construction Engineering Technology,53000.0,84700.0
Applied Science,44100.0,84600.0
Accounting Information Systems,60000.0,84500.0
Environmental Health,48100.0,84500.0
Technology,53400.0,84500.0
Biosystems Engineering,62000.0,84200.0
Fashion Design,44800.0,84100.0
Agribusiness Management,47600.0,84000.0
German Language,48200.0,84000.0
Professional Pilot Education,59800.0,83900.0
Textile Technology,51500.0,83900.0
Manufacturing Systems,71700.0,83600.0
Diagnostic Medical Ultrasound,60800.0,83500.0
Marketing & Mass Communications,41800.0,83500.0
General Business,47600.0,83400.0
Computer Graphics Technology (CGT),46800.0,83400.0
Agricultural Systems Technology,54000.0,83300.0
Health Care,41700.0,83300.0
Hospital Administration,49600.0,83300.0
Personal Financial Planning,51200.0,83300.0
Business Technology Management,52900.0,83200.0
Health Policy & Administration,48300.0,83100.0
Math & Science,54400.0,82900.0
Architectural Design,46000.0,82800.0
Environmental Science,46500.0,82800.0
Advertising & Marketing,46300.0,82700.0
Animation,43100.0,82700.0
General Science,46900.0,82600.0
Biology & Chemistry,46700.0,82500.0
American Studies,49000.0,82400.0
Product Design Engineering,61500.0,82400.0
Aviation Maintenance Technology,49800.0,82300.0
Film Studies,42500.0,82300.0
Magazine Journalism,44500.0,82300.0
Web & Digital Media Development,48400.0,82200.0
Digital Media Design,45200.0,82000.0
English Literature,45400.0,82000.0
History & Politics,47200.0,82000.0
Human Biology,48400.0,82000.0
Business Management & Human Resources Management (HRM),44700.0,81900.0
Architectural Technology,44700.0,81900.0
Design,49400.0,81900.0
Philosophy & Religion,41800.0,81900.0
Physiology,46900.0,81900.0
Business Administration,49700.0,81700.0
French Studies,49500.0,81700.0
Land Surveying,48700.0,81700.0
Management,49000.0,81600.0
Geographic Information Systems (GIS),47100.0,81500.0
Interactive Media Design,51800.0,81500.0
Architectural Studies,43100.0,81400.0
Business Administration & Accounting,50300.0,81300.0
Industrial Arts,46500.0,81300.0
Textile Design,47400.0,81200.0
Textile & Apparel Studies,43800.0,81100.0
Accounting & Management,49700.0,81000.0
Nursing Science,63700.0,80900.0
Business Management,48800.0,80800.0
Linguistics,49300.0,80800.0
Agronomy,49100.0,80700.0
Corporate Communications,45300.0,80700.0
Neuroscience,47800.0,80700.0
Communication Studies & Journalism,42500.0,80600.0
Sociology & Organizational Studies,48200.0,80500.0
Nursing,61700.0,80400.0
Toxicology,43800.0,80300.0
History,45300.0,80300.0
Agricultural Science,46900.0,80300.0
Biology,44500.0,80200.0
Crop Science,45200.0,80200.0
French Language,46600.0,80200.0
Environmental Studies,45900.0,80100.0
Management (MGT),44800.0,80100.0
Communication,45300.0,79900.0
General & Strategic Management,48900.0,79800.0
Merchandising Management,44200.0,79800.0
Dental Hygiene,70400.0,79600.0
Hydrology,45300.0,79600.0
Global Business,53200.0,79500.0
Retail & Consumer Science,48500.0,79500.0
Literature,44400.0,79500.0
Emergency Management,49600.0,79400.0
Interpersonal & Organizational Communication,40300.0,79400.0
Nuclear Medicine,57800.0,79400.0
History & Political Science,48400.0,79300.0
Retail Merchandising,48000.0,79200.0
Agriculture,45300.0,79100.0
Environmental Management,47300.0,79100.0
Professional & Technical Writing,46000.0,79100.0
International Development Studies,45500.0,79000.0
Workforce Education & Development,57100.0,79000.0
Journalism & Mass Communication,43700.0,79000.0
Pre-Medicine,48400.0,78900.0
Bachelor in Science Nursing,61000.0,78800.0
Network Technology,54900.0,78800.0
Theatre & Drama Studies,41500.0,78600.0
Law,51900.0,78500.0
Law Enforcement,43800.0,78400.0
Printing Technology,43800.0,78400.0
Public Relations & Communication,43600.0,78400.0
Foreign Languages,47800.0,78300.0
Interior Architecture,45100.0,78300.0
Marine Science,44000.0,78300.0
Public Management,47800.0,78300.0
Web Development,54100.0,78300.0
Journalism,43500.0,78200.0
Landscape Architecture,49000.0,78200.0
Environmental Geography,47100.0,78200.0
Bachelor of Science in Nursing,60700.0,78100.0
Digital Media,44500.0,78000.0
Welding Technology,46100.0,78000.0
Nutrition Science,45900.0,77800.0
Accounting & Business,49400.0,77600.0
Diagnostic Medical Sonography,62200.0,77600.0
American History (United States),47800.0,77500.0
